"BIOMATERIAL_TYPE"	"SAMPLE_NAME"	"CELL_TYPE"	"TISSUE_TYPE"	"DONOR_SEX"	"DONOR_ID"
"8369"	"Primary Cell Culture"	"S001S7H2"	"inflammatory macrophage"	"venous blood"	"Female"	"S001S7"
"8410"	"Primary Cell Culture"	"S001S7H1"	"macrophage"	"venous blood"	"Female"	"S001S7"
"8467"	"Primary Cell Culture"	"S0022IH2"	"inflammatory macrophage"	"venous blood"	"Female"	"S0022I"
"8512"	"Primary Cell Culture"	"S0022IH1"	"macrophage"	"venous blood"	"Female"	"S0022I"
"8575"	"Primary Cell"	"S0033CH0"	"CD38-negative naive B cell"	"venous blood"	"Male"	"C003JB,C003RW,C003N3,C003QY"
"8619"	"Primary Cell Culture"	"S00390H1"	"macrophage"	"venous blood"	"Male"	"S00390"
"8690"	"Primary Cell"	"S004KBH1"	"CD38-negative naive B cell"	"venous blood"	"Male"	"S004KB"
"8737"	"Primary Cell Culture"	"S00622H1"	"alternatively activated macrophage"	"venous blood"	"Male"	"S00622"
"8786"	"Primary Cell Culture"	"S006VIH1"	"alternatively activated macrophage"	"venous blood"	"Male"	"S006VI"
"8825"	"Primary Cell"	"S006XEH2"	"mature eosinophil"	"venous blood"	"Male"	"S006XE"
"8862"	"Primary Cell"	"S007DDH2"	"CD4-positive, alpha-beta T cell"	"venous blood"	"Female"	"S007DD"
"8903"	"Primary Cell"	"S007G7H4"	"CD4-positive, alpha-beta T cell"	"venous blood"	"Male"	"S007G7"
"8948"	"Primary Cell"	"S008H1H1"	"CD4-positive, alpha-beta T cell"	"venous blood"	"Male"	"S008H1"
"8993"	"Primary Cell"	"S009W4H1"	"CD4-positive, alpha-beta T cell"	"venous blood"	"Female"	"S009W4"
"9028"	"Primary Cell"	"S00BKKH1"	"mature eosinophil"	"venous blood"	"Female"	"S00BKK"
"9059"	"Primary Cell Culture"	"S00BS4H1"	"alternatively activated macrophage"	"venous blood"	"Female"	"S00BS4"
"9110"	"Primary Cell Culture"	"S00FTNH1"	"alternatively activated macrophage"	"venous blood"	"Female"	"S00FTN"
"9159"	"Primary Cell Culture"	"S00H6OH2"	"inflammatory macrophage"	"venous blood"	"Male"	"S00H6O"
"9243"	"Primary Cell"	"S00UJKH1"	"adult endothelial progenitor cell"	"venous blood"	"Female"	"S00UJK"
"9312"	"Primary Cell"	"S00W8YH2"	"mesenchymal stem cell of the bone marrow"	"venous blood"	"Unknown"	"S00W8Y"
"9368"	"Primary Cell"	"S00YAMH1"	"mesenchymal stem cell of the bone marrow"	"venous blood"	"Unknown"	"S00YAM"
"9407"	"Primary Cell"	"S00YPTH1"	"class switched memory B cell"	"venous blood"	"Male"	"S00YPT"
"9509"	"Primary Cell"	"S013GFH1"	"adult endothelial progenitor cell"	"venous blood"	"Female"	"S013GF"
"9572"	"Primary Cell"	"S014WGH1"	"CD8-positive, alpha-beta T cell"	"venous blood"	"Female"	"S014WG"
"9605"	"Primary Cell"	"S0155TH1"	"central memory CD8-positive, alpha-beta T cell"	"venous blood"	"Male"	"S0155T"
"9816"	"Primary Cell Culture"	"S01F8KH2"	"inflammatory macrophage"	"venous blood"	"Male"	"S01F8K"
"9841"	"Primary Cell Culture"	"S01F8KH1"	"macrophage"	"venous blood"	"Male"	"S01F8K"
"9866"	"Primary Cell Culture"	"S01FW9H2"	"alternatively activated macrophage"	"venous blood"	"Male"	"S01FW9"
